jersey_number,song,start_time
0,Upside Down - Jack Johnson,
1,https://youtu.be/c36LsIAs-Yc?si=vBsp3-RpPyNkeRwT,
2,sold out dates- lil baby and gunna,
3,I’m still standing - Elton John ,
4,I was made for loving you - Kiss,
5,Chelsea Dagger,
6,Mud on the Tires- Brad Paisley ,51
7,Chelsea Dagger ,
8,U can’t touch this - MC Hammer,
9,Texas-BigX,
10,Theme from New York- frank sinatra ,
11,“Just Wanna Rock” by Lil Uzi Vert,
12,Country,
14,Levels-Avicii,
15,Hate being sober - keef,
16,Zeze - Travis Scott and young thug,
17,Good time - Alan Jackson,
18,Would-Alice in Chains,
19,ss - Ken Carson,
20,Hells Bells - AC/DC,85
21,Nail tech - jack Harlow ,
22,22 by Taylor swift,
23,Welcome to the Jungle - Guns N’ Roses ,
24,What is love - Haddaway,
25,Callaita Bad Bunny,
26,All of the lights-Kanye ,
27,Gasolina-Daddy Yankee,
28,Shinzō wo Sasageyo!,
29,https://youtu.be/00rnuvhfs_8?si=yJTj0QCjYtmoly3L,
30,https://youtu.be/lao_9nmGSpY?si=x4qejcwn06HmLEGG,
32,Ain’t No Love in Oklahoma- Luke Combs,
33,Theme From Jurassic Park-John Williams,
34,Golden - HUNTRx / K-pop demon hunters,
35,Wake Waka-Shakira,
36,Take it on the run-REO Speedwagon,
37,Kickstart my heart - Motley Crue,
42,lush life - zara larsson,
44,https://www.youtube.com/watch?v=mJpNmYeooQE&ab_channel=HBO,
46,I’m still standing- Elton John ,
47,Golden - HUNTRx / K-pop demon hunters,
49,Miss the rage ,
50,Prices- lil uzi vert,
51,"In The End, Linkin Park",
52,Holding out for a Hero,
53,See you in court - Treaty Oak Revival. Or any Treaty Oak Revival ,
55,On the river-Young Dolph,
56,Nokia-Drake,
58,All of the Lights -Kanye,
61,First day out - Tee Grizzley,
62,Homecoming- Kanye ,
64,You choose ,
67,Pocketful of sunshine by Natasha Bedingfield and Doot Doot (67) by Skrilla,
68,25-Rod Wave,
69,Andy Mineo or Ed Sheeran,
70,Callin Baton Rouge Garth brooks,
71,https://www.youtube.com/watch?v=o0ZpesMYF6A,
73,"The Man, Aloe Blacc",
76,Yale-Ken Carson,
77,The Distance — CAKE,
79,Intergalactic-Beastie Boys,
80,Diamonds-Rihanna,
83,Golden - HUNTRx / K-pop demon hunters,
85,Philly — Travis Scott,
85,Philly- Playboi Carti,
86,Golden - HUNTRx / K-pop demon hunters,
88,Take it to da house - trick daddy ,
90,Heart Shaped Box by Nirvana,48
93,Legendary (Clean Version)- Rio Da Yung OG,
95,Please Ask for Help - Telekinesis ,
97,Soak City (Same as last year),
99,A Country Boy Can Survive - Hank Williams Jr,
